Geo_FIPS,MEDAGE,BLACK,QNATAM,QASIAN,QHISP,QAGEDEP,PPUNIT,PRENTER,QNRRES,QFEMALE,QFHH,QUNOCCHU,BLACK_ALT,QNATAM_ALT,QASIAN_ALT,QNRRES_ALT,QUNOCCHU_ALT,MEDAGE_ACS,BLACK_ACS,QNATAM_ACS,QASIAN_ACS,QHISP_ACS,QAGEDEP_ACS,QPUNIT_ACS,PRENTER_ACS,QNRRES_ACS,QFEMALE_ACS,QFHH_ACS,QUNOCCHU_ACS,PERCAP,QESL,QCVLUN,QPOVTY,QMOHO,QED12LES,QFEMLBR,QEXTRCT,QSERV,QSSBEN,QNOAUTO,QFAM,QRICH200K,PERCAP_ALT,QESL_ALT,QED12LES_ALT,QEXTRCT_ALT,QSERV_ALT,QNOAUTO_ALT,MDGRENT_ALT,MHSEVAL_ALT,POPDENS,MHSEVAL_ALT_LAG,MHSEVAL_ALT_LAG_SE,MEDAGE_ACS_SE,BLACK_ACS_SE,QNATAM_ACS_SE,QASIAN_ACS_SE,QHISP_ACS_SE,QAGEDEP_ACS_SE,QPUNIT_ACS_SE,PRENTER_ACS_SE,QNRRES_ACS_SE,QFEMALE_ACS_SE,QFHH_ACS_SE,QUNOCCHU_ACS_SE,PERCAP_SE,QESL_SE,QCVLUN_SE,QPOVTY_SE,QMOHO_SE,QED12LES_SE,QFEMLBR_SE,QEXTRCT_SE,QSERV_SE,QSSBEN_SE,QNOAUTO_SE,QFAM_SE,QRICH200K_SE,PERCAP_ALT_SE,QESL_ALT_SE,QED12LES_ALT_SE,QEXTRCT_ALT_SE,QSERV_ALT_SE,QNOAUTO_ALT_SE,MDGRENT_ALT_SE,MHSEVAL_ALT_SE,POPDENS_SE,sample_person,sample_hu
g01001,37.0,0.176705576222,0.00425134228803,0.00868593208847,0.0240054241264,0.18553810632,2.67622768409,0.224666817258,0.00331677997471,0.513129684265,0.136640126601,0.086469392365,0.175825988162,0.00397647101941,0.00855765882978,0.00302358395485,0.086469392365,37.0,0.179446785125,0.00287598461257,0.00804176589119,0.0239970690603,0.18723209379,2.71852111969,0.201386057888,0.00194174757282,0.51386700861,0.138256245611,0.0970693481904,24348.2689137,0.167235494881,0.244815996354,0.115510091236,0.208769307424,0.148873207375,0.471875647668,0.0143419689119,0.160870466321,0.292766128223,0.0513695194141,0.726846955733,0.0201163840674,24527.5414737,0.00783376745461,0.148873207375,0.0143419689119,0.160870466321,0.0513695194141,836,137900.0,91.834933982,94400.0,3557.21884498,0.243161094225,0.00187081259525,0.000757233669504,0.00142538102495,0.0,0.00157030423181,0.0314038965779,0.0112295838756,0.000779505248019,0.00178172628119,0.00873152225677,0.0102970536672,487.388674123,0.0726832729095,0.00966104542171,0.0098476530861,0.00924551937137,0.00902032951077,0.00904516781649,0.00460755553264,0.0111641029055,0.00837931387549,0.00744090189908,0.0221780709297,0.00444640389542,492.18038921,0.00182600615049,0.00864293947816,0.00460514332483,0.0112560582783,0.00668316326972,22.4924012158,2603.03951368,0.0,4141,1703
g01003,41.1,0.0938468713137,0.00667160453186,0.00739582476065,0.043848242943,0.228930403533,2.45911451216,0.193242425116,0.00354428990755,0.510624639947,0.11128723695,0.296758631956,0.0930842454668,0.00628754834993,0.00735193262557,0.00329191013085,0.296758631956,41.2,0.0923558883565,0.00543045201009,0.00735157674129,0.0431980177486,0.230693242225,2.48491429671,0.181393291276,0.00303450383679,0.512787486492,0.1132355569,0.300363517464,26465.7886981,0.377168212989,0.238140376203,0.132629717633,0.125788582859,0.116224434474,0.464651822611,0.0170603836428,0.178005304385,0.356091325205,0.0308174458083,0.751875314761,0.0347211722176,26823.8776413,0.0255336961072,0.116224434474,0.0170603836428,0.178005304385,0.0308174458083,874,172900.0,115.252134881,78940.0,4554.16413374,0.182370820669,0.00136692351005,0.000832761652965,0.000567339612179,0.0,0.0006700017431,0.0209410834354,0.00585480230177,0.000630377346866,0.000978743775397,0.00668576809209,0.00595493499071,420.421024385,0.0378994215229,0.00665676765222,0.00734723272309,0.00537100551618,0.00476341660929,0.00602528782494,0.00223542909363,0.0079155621939,0.00560084663837,0.00310371750725,0.01545663927,0.00350600859773,427.822278395,0.00217156213191,0.00508567612248,0.00222189194403,0.00861106049893,0.00331579782228,13.3738601824,1710.63829787,0.0,10975,5380
g01005,39.0,0.468915030775,0.00415194668026,0.00389700258586,0.0505153512765,0.204355901956,2.47087576375,0.275932031448,0.00542666715227,0.469133554285,0.198370672098,0.16983684166,0.466911898605,0.00218523509488,0.00389700258586,0.00520814364279,0.16983684166,38.2,0.459062943682,0.000910116859005,0.00203866176417,0.0496923805017,0.203647748371,2.60309880081,0.26418588988,0.0074993629182,0.463067457862,0.195585270084,0.206684627042,14953.4711857,0.492391304348,0.413836824697,0.260701182226,0.258292641859,0.264092297966,0.501906941266,0.0349787512259,0.16661218263,0.371325480208,0.0997559163748,0.4670558799,0.00668576886342,16745.7662359,0.0264956934842,0.264092297966,0.0349787512259,0.16661218263,0.0997559163748,577,88700.0,31.0427570498,98550.0,2420.06079027,0.243161094225,0.0046695357386,0.000597523530532,0.00141635207237,0.0,0.00262896940667,0.0575378680478,0.0152173170599,0.00168191808594,0.00174830958933,0.012104271922,0.0142922897913,487.056810435,0.128269214066,0.0141205697788,0.0159038348829,0.0134147087644,0.0126619331876,0.0213328300457,0.00589515662013,0.0139721139325,0.00881930723816,0.0104808952184,0.0317273782323,0.0026417022786,569.655905116,0.00588450860079,0.0120902075976,0.0064703803156,0.0145716564673,0.0101968989597,17.0212765957,3020.06079027,0.0,3058,1227
g01007,37.8,0.220248745363,0.00279293039494,0.00096006982326,0.0177176521929,0.186951778311,2.60165975104,0.216234272353,0.00510582587825,0.463190050185,0.143719351188,0.114463868166,0.219245036003,0.00279293039494,0.00096006982326,0.0058476980144,0.114463868166,39.4,0.217137335851,0.00351354912381,0.00109798410119,0.0184022135359,0.186789055294,2.94882209586,0.157066309444,0.00395274276428,0.466204049365,0.150825886813,0.175485599464,15377.5308534,0.223564954683,0.377599368255,0.164907772781,0.328421522661,0.238561670318,0.418804410911,0.0152060359837,0.134648868253,0.374763065259,0.051177904143,0.629811996419,0.00379095586244,16075.8034894,0.00596541921051,0.238561670318,0.0152060359837,0.134648868253,0.051177904143,581,91600.0,36.5718717027,73825.0,5262.61398176,0.48632218845,0.00699505980576,0.00218929352699,0.000881057151107,0.0,0.00374124933223,0.083738127532,0.015388474587,0.00154852468982,0.00493925978651,0.0192969542219,0.0215656184089,722.978838209,0.183111922184,0.0230971482417,0.020430700606,0.0243178078314,0.0204760260383,0.0189594527793,0.00568769604058,0.0191430173299,0.0155615339586,0.011087404264,0.0500665755187,0.00254924026991,759.783963471,0.00284447341586,0.0213842095948,0.00547174233771,0.0201396719756,0.0105202777179,39.5136778116,5369.60486322,0.0,1507,627
g01009,39.0,0.0132758801158,0.00535570984962,0.0020411011479,0.0807019992324,0.21030319947,2.63384002224,0.175576673504,0.0048846865078,0.505216147378,0.0965798498471,0.0966634571106,0.0126304036844,0.00497191305258,0.00200621052999,0.00483235058093,0.0966634571106,39.1,0.0123551317301,0.00207078968434,0.00168795461664,0.080847805659,0.211881808374,2.70614806714,0.167248853163,0.00401976821077,0.504245988933,0.0898673386905,0.114894154286,20356.5255977,0.472841225627,0.305187894004,0.147316337094,0.211986027524,0.243366147327,0.448396772422,0.0301212454058,0.139537831101,0.370976178023,0.0383243782987,0.756859819282,0.00870144073035,20554.3215083,0.0422872636779,0.243366147327,0.0301212454058,0.139537831101,0.0383243782987,588,115200.0,89.1255395867,108916.666667,3087.94326241,0.303951367781,0.00156561453491,0.000835699650392,0.000698179454758,0.0,0.00120784710289,0.0338855312683,0.0103304291971,0.000772228790868,0.00137520195634,0.00827820336463,0.0106916135415,496.134085153,0.0390868492623,0.0100913839735,0.0137691663395,0.0112488276201,0.0105259814914,0.011020243022,0.00550411818896,0.0105438771407,0.00883663577617,0.00603972056589,0.0308840832765,0.00236773630807,501.624231426,0.00286372345907,0.00968217390526,0.00562237322573,0.0116597569946,0.0049777335682,16.4133738602,2630.39513678,0.0,4796,2016
g01011,38.5,0.702400586403,0.00210738501008,0.00183250870442,0.0711929631666,0.202583837273,2.46301735648,0.260182506121,0.0104452996152,0.458310426975,0.26782376502,0.166481192967,0.699743448781,0.00183250870442,0.00183250870442,0.0136521898479,0.166481192967,40.7,0.705909639113,0.00222655162817,0.0,0.0577975693478,0.200853511457,2.75160427807,0.188624750056,0.00927729845069,0.443733184897,0.238770053476,0.169073539214,17414.454031,0.737931034483,0.375886524823,0.221661980025,0.265718729171,0.296897689769,0.399166870865,0.111982357265,0.128154864004,0.397593582888,0.160160427807,0.355353075171,0.0320855614973,18240.2487611,0.0317570241393,0.296897689769,0.111982357265,0.128154864004,0.160160427807,495,73900.0,17.3071911628,106737.5,2695.97264438,1.33738601824,0.0309619261363,0.00197389328738,0.00107154207029,0.0306235444299,0.0012407329235,0.100374474924,0.0266539607107,0.00439896218331,0.00958748168157,0.0248802703134,0.0250459672351,1593.05381312,0.310325453667,0.0354683755261,0.0304584891006,0.0283338150027,0.0320808915488,0.0133328917878,0.0274944154382,0.024850977194,0.0281335977463,0.0333206826982,0.0479061861246,0.013609853288,1686.11614854,0.0179582859553,0.0270316496434,0.0304200102144,0.0254085733307,0.0300694061736,48.0243161094,8424.92401216,0.0,657,302
g01013,40.1,0.434191053611,0.00286437198644,0.00844989736,0.00911825082351,0.232061870435,2.42774702626,0.253311922923,0.0127464553397,0.53033847329,0.197856553998,0.147832195905,0.431899556022,0.00281663245333,0.00830667876068,0.0128419344059,0.147832195905,40.3,0.432272069465,0.00173661360347,0.00882778581766,0.00979257115292,0.229860106126,2.51355994601,0.241953273839,0.0077182826821,0.53024602026,0.202233402872,0.182893813296,16496.4688857,0.116438356164,0.358107580607,0.256853833749,0.219993983756,0.23727008025,0.531909451336,0.0326128660954,0.190433559279,0.415879248988,0.101362130323,0.517681019966,0.00478586329611,16695.3961822,0.0080255170285,0.23727008025,0.0326128660954,0.190433559279,0.101362130323,538,73500.0,26.685423271,94100.0,3697.43812419,0.425531914894,0.00211138432033,0.000997042595712,0.000351897386722,0.0,0.00129062361112,0.0479090031767,0.015219402872,0.00278585431155,0.00131961520021,0.0135768743665,0.0146786763745,636.97426897,0.171070854044,0.0162351417806,0.018695442409,0.0136360694659,0.0147440392855,0.0132351201175,0.0061982788387,0.0154225904566,0.0127948036705,0.01137560065,0.027750937425,0.00275867581879,646.791443494,0.00190385672017,0.011420545653,0.0063751913034,0.0154155341034,0.0106476162688,24.9240121581,2601.21580547,0.0,2061,997
g01015,38.2,0.205630334312,0.00455419491954,0.00712647167965,0.0328323718922,0.204044799784,2.44349369335,0.277336786204,0.0038879330702,0.517795094963,0.15203566373,0.111805438271,0.203901426981,0.00404817326182,0.00699996626522,0.00417467867625,0.111805438271,38.7,0.205068146715,0.00269871174703,0.00667888724816,0.0325712442928,0.206612692432,2.51488069225,0.259227290639,0.00347098460546,0.518933414804,0.145551088192,0.141275589665,20200.426023,0.259990485252,0.306221528049,0.21409733042,0.148143283358,0.212035298775,0.465803197401,0.00780114559289,0.172608361118,0.3573551263,0.0612490166943,0.63395297977,0.0159295516126,20681.8691296,0.017841971113,0.212035298775,0.00780114559289,0.172608361118,0.0612490166943,611,101900.0,194.488004559,103140.0,2567.29483283,0.182370820669,0.00145483113048,0.000546851417839,0.000639712979358,0.0,0.000598263252078,0.020486200865,0.00710069475286,0.000536533466559,0.000557169369119,0.00655549248125,0.00681595709511,372.177020137,0.0400834400442,0.00717576358574,0.00939503404928,0.00648433277008,0.00677199723336,0.00637112211799,0.00185244778199,0.00743993372621,0.00629323947241,0.00424261103278,0.0215248252304,0.00248082951336,383.458079022,0.00150381091862,0.00720820005955,0.00181628131087,0.00738655742773,0.00445043975507,12.7659574468,1913.67781155,0.0,8770,3849
g01017,41.5,0.387461639632,0.00201665935993,0.00491012713722,0.0156656437235,0.223849188952,2.42280915811,0.240531639614,0.00604997807979,0.521759462224,0.191057202325,0.180604563632,0.385971065322,0.00166593599299,0.00485167324273,0.00774514102002,0.180604563632,41.4,0.390995676055,0.000496669393479,0.00520042070819,0.0162147949048,0.228146546687,2.47902303066,0.246764705882,0.00730396166881,0.525768376768,0.17155640311,0.198,17472.8672432,0.311440677966,0.340244353943,0.232736421489,0.180176470588,0.262224291944,0.49703823371,0.0103084852681,0.143395645819,0.389540853748,0.089408830864,0.475789473684,0.0111485990905,17694.644812,0.00745920745921,0.262224291944,0.0103084852681,0.143395645819,0.089408830864,617,78000.0,57.3783710296,115320.0,3095.56231003,0.48632218845,0.0018115600978,0.000444009827891,0.00040848904166,0.0,0.00175144853085,0.0386961225464,0.0118982042331,0.00140307105614,0.00110114437317,0.0101823261114,0.0126171299163,514.132672978,0.182769639109,0.0145138075177,0.0135585260221,0.012045754338,0.0122767135285,0.0138683694776,0.00377450959184,0.0128817568987,0.0110350446322,0.00945738380535,0.0395106835441,0.00275902370268,521.943154646,0.00192646519897,0.0110877901775,0.00373255877428,0.0120713087079,0.00871922787175,17.0212765957,2418.23708207,0.0,2751,1386
g01019,43.9,0.0464812035861,0.00519450536766,0.00207780214706,0.0123129016122,0.232444495748,2.41850178807,0.140222536423,0.00781099696025,0.504097887568,0.103896103896,0.346775680826,0.0464042479511,0.00469429373966,0.00188541305937,0.00707991842703,0.346775680826,44.3,0.0476135355172,0.0062893081761,0.00300960759347,0.0128487093414,0.235984103098,2.16567443443,0.186232063335,0.00949183933326,0.508122082031,0.107926518115,0.272761009401,23287.6335996,0.0971786833856,0.319146334006,0.194811320755,0.317973775359,0.229206074691,0.433471432701,0.026399460449,0.129106850371,0.395135227079,0.0398026875319,0.756515927824,0.0153087259738,23701.916431,0.0021230555669,0.229206074691,0.026399460449,0.129106850371,0.0398026875319,602,99900.0,46.8069520704,95700.0,3267.04298741,0.243161094225,0.00204065046085,0.00154807965996,0.000140734514542,0.0,0.00267488150101,0.0442025073621,0.0166117908615,0.00272086728114,0.00300233631022,0.0105302063276,0.0148724302993,911.517888588,0.163292896983,0.0175782838439,0.0197793594664,0.0161089184039,0.0147423322518,0.0148771815283,0.00918123693579,0.0135423667927,0.0148416139659,0.00705693905212,0.0328894252505,0.0048500498646,930.133186896,0.00108781133092,0.0149438781736,0.00945133071315,0.0135073639507,0.00724532864745,58.9665653495,4341.64133739,0.0,2252,1095
