,geoFIPS,NAME
244,g08053,Hinsdale
245,g08061,Kiowa
246,g08063,Kit Carson
247,g08071,Las Animas
248,g08073,Lincoln
249,g08075,Logan
250,g08079,Mineral
251,g08085,Montrose
252,g08087,Morgan
253,g08089,Otero
254,g08095,Phillips
255,g08099,Prowers
256,g08101,Pueblo
257,g08103,Rio Blanco
258,g08105,Rio Grande
259,g08001,Adams
260,g08003,Alamosa
261,g08005,Arapahoe
262,g08007,Archuleta
263,g08009,Baca
264,g08011,Bent
265,g08013,Boulder
266,g08015,Chaffee
267,g08019,Clear Creek
268,g08023,Costilla
269,g08027,Custer
270,g08029,Delta
271,g08031,Denver
272,g08035,Douglas
273,g08037,Eagle
274,g08049,Grand
275,g08051,Gunnison
276,g08055,Huerfano
277,g08057,Jackson
278,g08059,Jefferson
279,g08065,Lake
280,g08067,La Plata
281,g08069,Larimer
282,g08077,Mesa
283,g08081,Moffat
284,g08083,Montezuma
285,g08091,Ouray
286,g08093,Park
287,g08097,Pitkin
288,g08107,Routt
289,g08109,Saguache
290,g08111,San Juan
291,g08113,San Miguel
292,g08117,Summit
293,g08014,Broomfield
294,g08017,Cheyenne
295,g08021,Conejos
296,g08025,Crowley
297,g08033,Dolores
298,g08039,Elbert
299,g08041,El Paso
300,g08043,Fremont
301,g08045,Garfield
302,g08047,Gilpin
303,g08115,Sedgwick
304,g08119,Teller
305,g08121,Washington
306,g08123,Weld
307,g08125,Yuma
308,g09001,Fairfield
309,g09003,Hartford
310,g09005,Litchfield
311,g09007,Middlesex
312,g09009,New Haven
313,g09011,New London
314,g09013,Tolland
315,g09015,Windham
316,g10001,Kent
317,g10003,New Castle
318,g10005,Sussex
319,g11001,District of Columbia
320,g12013,Calhoun
321,g12015,Charlotte
322,g12019,Clay
323,g12021,Collier
324,g12027,DeSoto
325,g12035,Flagler
326,g12067,Lafayette
327,g12081,Manatee
328,g12085,Martin
329,g12087,Monroe
330,g12091,Okaloosa
331,g12099,Palm Beach
332,g12105,Polk
333,g12107,Putnam
334,g12109,St. Johns
335,g12111,St. Lucie
336,g12043,Glades
337,g12049,Hardee
338,g12051,Hendry
339,g12053,Hernando
340,g12059,Holmes
341,g12061,Indian River
342,g12001,Alachua
343,g12003,Baker
344,g12005,Bay
345,g12007,Bradford
346,g12009,Brevard
347,g12011,Broward
348,g12029,Dixie
349,g12031,Duval
350,g12033,Escambia
351,g12037,Franklin
352,g12039,Gadsden
353,g12041,Gilchrist
354,g12045,Gulf
355,g12047,Hamilton
356,g12055,Highlands
357,g12057,Hillsborough
358,g12063,Jackson
359,g12065,Jefferson
360,g12069,Lake
361,g12071,Lee
362,g12073,Leon
363,g12077,Liberty
364,g12079,Madison
365,g12083,Marion
366,g12086,Miami-Dade
367,g12089,Nassau
368,g12093,Okeechobee
369,g12095,Orange
370,g12097,Osceola
371,g12101,Pasco
372,g12103,Pinellas
373,g12113,Santa Rosa
374,g12117,Seminole
375,g12119,Sumter
376,g12121,Suwannee
377,g12123,Taylor
378,g12125,Union
379,g12129,Wakulla
380,g12133,Washington
381,g12115,Sarasota
382,g12131,Walton
383,g12017,Citrus
384,g12075,Levy
385,g12127,Volusia
386,g12023,Columbia
387,g13057,Cherokee
388,g13059,Clarke
389,g13061,Clay
390,g13063,Clayton
391,g13065,Clinch
392,g13001,Appling
393,g13007,Baker
394,g13009,Baldwin
395,g13013,Barrow
396,g13015,Bartow
397,g13019,Berrien
398,g13021,Bibb
399,g13025,Brantley
400,g13027,Brooks
401,g13029,Bryan
402,g13033,Burke
403,g13039,Camden
404,g13049,Charlton
405,g13051,Chatham
406,g13075,Cook
407,g13079,Crawford
408,g13081,Crisp
409,g13089,DeKalb
410,g13103,Effingham
411,g13105,Elbert
412,g13107,Emanuel
413,g13113,Fayette
414,g13121,Fulton
415,g13127,Glynn
416,g13131,Grady
417,g13135,Gwinnett
418,g13137,Habersham
419,g13141,Hancock
420,g13149,Heard
421,g13151,Henry
422,g13163,Jefferson
423,g13171,Lamar
424,g13179,Liberty
425,g13183,Long
426,g13185,Lowndes
