Geo_FIPS,sovi,rank
g01001,-3.377904419560508,2836.0
g01003,-1.1810556153504668,2189.0
g01005,-0.024258217416874395,1585.0
g01007,-4.4180683774044365,2970.0
g01009,-1.918605897904304,2465.0
g01011,-2.4594838233054137,2614.0
g01013,3.594867736987851,245.0
g01015,-0.11013083768596255,1642.0
g01017,1.7448053138276718,699.0
g01019,-1.6677685626459333,2382.0
g01021,-2.425746916188703,2604.0
g01023,-0.647639163884647,1938.0
g01025,1.0580675824830097,1003.0
g01027,0.10966084702339907,1519.0
g01029,-0.6201715274600774,1929.0
g01031,-0.8125619619888067,2020.0
g01033,-0.5515470466225274,1894.0
g01035,2.4137487334314036,453.0
g01037,-1.2267757182832775,2218.0
g01039,1.5363959418742503,796.0
g01041,-0.4518286602219168,1850.0
g01043,-0.8001133601528114,2013.0
g01045,-0.6794324740172155,1952.0
g01047,3.5505292673523243,251.0
g01049,0.07281415546603509,1541.0
g01051,-2.6234230209724476,2663.0
g01053,0.5585963124152424,1270.0
g01055,0.6324302601604467,1226.0
g01057,0.11723886993157384,1517.0
g01059,-0.0507486177920935,1606.0
g01061,0.09424642661431726,1527.0
g01063,3.0788252529909546,318.0
g01065,1.830434868302246,658.0
g01067,0.558483651078452,1271.0
g01069,-0.06349794142271148,1616.0
g01071,-1.3865420946468645,2277.0
g01073,-0.44054774149463605,1840.0
g01075,0.6112679181666396,1236.0
g01077,0.23352627723858144,1451.0
g01079,-1.2413782957952864,2225.0
g01081,-4.062751757157924,2943.0
g01083,-3.2162244309132775,2803.0
g01085,1.7903737687756898,681.0
g01087,4.432084110868237,152.0
g01089,-3.681666215357489,2886.0
g01091,1.8219497537004112,661.0
g01093,0.7865748960463016,1145.0
g01095,-0.07687489875863451,1621.0
g01097,-0.4041847267685592,1821.0
g01099,0.9824651952504679,1039.0
g01101,0.27958670952920617,1429.0
g01103,-1.1928186673434866,2199.0
g01105,5.49669665096463,101.0
g01107,1.757843756583637,694.0
g01109,0.43515631267865734,1347.0
g01111,0.5058500631256639,1304.0
g01113,1.854356905167412,647.0
g01115,-3.6702483888860096,2883.0
g01117,-5.741075270431558,3065.0
g01119,6.025838337422406,85.0
g01121,-0.361250396213195,1796.0
g01123,1.670468081528966,734.0
g01125,-1.7286487587619774,2402.0
g01127,0.1312686752895469,1501.0
g01129,-3.3896829716780488,2841.0
g01131,3.2577888327652147,295.0
g01133,0.3018540698174035,1419.0
g02013,-10.16736334880341,3140.0
g02016,-8.519323020959273,3133.0
g02020,-4.762691145219013,3005.0
g02050,9.828525230386278,17.0
g02060,-3.516494366455471,2857.0
g02068,-4.407893860776299,2968.0
g02070,7.017122514966458,55.0
g02090,-5.95331332808295,3081.0
g02100,-4.402905128275397,2967.0
g02105,2.6699064875606027,403.0
g02110,-5.418294863226489,3050.0
g02122,-3.295550729289569,2818.0
g02130,-2.962425812762562,2743.0
g02150,-3.641481459387376,2876.0
g02164,9.441218059927103,20.0
g02170,-5.5856758995488605,3058.0
g02180,8.132578040777291,38.0
g02185,-0.19467047271849047,1691.0
g02188,8.68295160978505,32.0
g02195,-3.2756612440479724,2813.0
g02198,-1.5197638802394442,2332.0
g02220,-1.7292868306596851,2403.0
g02230,-4.861366395366666,3010.0
g02240,-4.07108218568712,2945.0
g02261,-4.844715315168942,3009.0
g02270,13.76966413677816,4.0
g02275,2.277668157597386,495.0
g02282,-4.651457746729104,2996.0
g02290,8.3244959178163,35.0
g04001,10.039609104252815,15.0
g04003,2.5179723306801245,434.0
g04005,1.1961320583412756,936.0
g04007,5.826606903953891,90.0
g04009,0.18776876773203255,1472.0
g04011,-1.232995621867257,2222.0
g04012,7.371489265346696,51.0
g04013,-0.4465330679382229,1845.0
g04015,3.513859924272955,255.0
g04017,5.846505934835124,89.0
g04019,2.24738249680519,508.0
g04021,-0.5640677888102157,1899.0
g04023,7.551625526504303,49.0
g04025,2.841474308388687,363.0
g04027,4.732447099430797,133.0
g05001,0.5084131504846126,1300.0
g05003,-0.43591729179555383,1836.0
g05005,4.6981953440693305,135.0
g05007,-2.1696683830554058,2542.0
g05009,0.8854673037459984,1088.0
g05011,2.04258384908096,576.0
g05013,-2.5353162308799497,2634.0
g05015,1.7979830674084776,678.0
g05017,5.067363918651356,124.0
g05019,2.6416511312547275,408.0
g05021,0.6767476673786423,1203.0
g05023,1.7680330632659578,689.0
g05025,-1.7105125710975988,2393.0
g05027,1.8592806488779594,646.0
g05029,0.42752548489610454,1349.0
g05031,-0.5999249968211664,1914.0
g05033,-0.2658413627623588,1737.0
g05035,1.1897457331779566,941.0
g05037,0.6598060014793816,1217.0
g05039,0.3820731294005135,1377.0
g05041,3.2411580832670457,298.0
g05043,0.739485284561826,1171.0
g05045,-3.225856002563733,2806.0
g05047,1.3528544950002213,870.0
g05049,3.9951836779187655,194.0
g05051,2.0711111685997987,561.0
g05053,-3.1330996507431355,2787.0
g05055,-0.8669097412584376,2048.0
g05057,2.3270952698997274,483.0
g05059,-0.5126616265921464,1877.0
g05061,3.176481412889572,306.0
g05063,0.6766183366611904,1204.0
g05065,1.9339697263049573,620.0
g05067,1.6550645779233815,738.0
g05069,1.485051749869882,815.0
g05071,-0.08561050949825533,1625.0
g05073,3.8637355782561134,210.0
g05075,2.838825221795422,364.0
g05077,3.2137570730033853,301.0
g05079,-3.851137559748362,2917.0
g05081,0.8307818237940094,1125.0
g05083,0.6981791614830699,1193.0
g05085,-2.387427524442784,2595.0
g05087,-0.4039543665648282,1820.0
g05089,3.192245382498179,303.0
g05091,-0.25821595220451765,1728.0
g05093,0.7552592030873622,1162.0
g05095,4.034196450489581,188.0
g05097,1.9581183341666304,606.0
g05099,1.3934496869767945,858.0
g05101,-0.028753350205769523,1589.0
g05103,2.03062490997748,580.0
g05105,-1.2499057548558525,2232.0
g05107,6.092482877547239,81.0
g05109,0.5105437499554242,1299.0
g05111,2.23012963793753,512.0
g05113,1.4229401039994658,839.0
g05115,-0.8498918568810752,2041.0
g05117,1.7160060625607358,711.0
g05119,-0.6089281204656811,1919.0
g05121,1.5987494831108227,761.0
g05123,1.2005982408232514,932.0
g05125,-2.9621987382725927,2742.0
g05127,0.3715718632269789,1381.0
g05129,4.646382360164571,141.0
g05131,0.26923349912653327,1434.0
g05133,2.758136324095424,383.0
g05135,3.065634543686812,320.0
g05137,2.9140734185312733,340.0
g05139,0.587251755290811,1250.0
g05141,2.306738482278046,488.0
g05143,-1.287443383657094,2246.0
g05145,-1.135552224376523,2168.0
g05147,3.877665001594674,207.0
g05149,2.0676811298281073,562.0
g06001,-2.959545399069268,2741.0
g06003,-0.43552694160412786,1835.0
g06005,-0.6020973702519272,1915.0
g06007,1.066926474956557,1002.0
g06009,-0.49999470128019174,1865.0
g06011,2.6068560076478398,416.0
g06013,-3.300149814187968,2819.0
g06015,1.7578947482044402,693.0
g06017,-3.1877128326428803,2799.0
g06019,2.678165534342737,401.0
g06021,1.6316652536871628,752.0
g06023,-0.10102723403736702,1633.0
g06025,6.749079572533601,60.0
g06027,1.9607519863268512,603.0
g06029,1.2236721932575458,921.0
g06031,-0.15640748770824753,1671.0
g06033,2.3737420934669395,466.0
g06035,-5.129083263906022,3030.0
g06037,1.1904570245607071,940.0
g06039,2.8381603467634453,365.0
g06041,-5.618712434923277,3059.0
g06043,1.4502707350967983,826.0
g06045,2.0558485702986493,569.0
g06047,2.8913247993819047,350.0
g06049,3.836608845888151,220.0
g06051,-1.3431576214140946,2266.0
g06053,1.8091633710654258,670.0
g06055,-0.8677630761334114,2049.0
g06057,-1.1954646698127396,2203.0
g06059,-2.8753080631618166,2724.0
g06061,-3.2256732151309704,2805.0
g06063,1.6969349423780211,726.0
g06065,0.33547250701484854,1402.0
g06067,-0.014534641708184637,1582.0
g06069,-0.2639209854043538,1735.0
g06071,0.34176411596532774,1398.0
g06073,-1.7498341978203578,2409.0
g06075,-1.3941646380703396,2280.0
g06077,0.5484220421318107,1278.0
g06079,-2.0351370622876797,2502.0
g06081,-4.4311540964206495,2973.0
g06083,0.15324778404133022,1490.0
g06085,-6.158142897362155,3092.0
g06087,-2.4715345501247103,2620.0
g06089,0.7182259891248327,1181.0
g06091,3.084760029738203,317.0
g06093,2.309652010113857,485.0
g06095,-1.7219958659586865,2398.0
g06097,-1.1232781869250466,2163.0
g06099,1.1988444288851032,933.0
g06101,1.0753879206804822,997.0
g06103,1.9804305291327218,596.0
g06105,1.81810445818913,663.0
g06107,3.4734537313288234,263.0
g06109,0.8518994894145746,1110.0
g06111,-2.483310675662689,2623.0
g06113,-1.4586496697728286,2308.0
g06115,0.36713715818943393,1385.0
g08001,-1.3318577308363033,2263.0
g08003,0.507260375228096,1302.0
g08005,-2.8216067916614844,2714.0
g08007,-1.9431011296202216,2471.0
g08009,3.644661160862115,237.0
g08011,-1.3367219104426962,2264.0
g08013,-5.747991684389003,3067.0
g08014,-6.617748504899954,3107.0
g08015,-2.0849031352325644,2517.0
g08017,0.07698206014809239,1538.0
g08019,-5.759061462212717,3069.0
g08021,3.4585339942142737,265.0
g08023,5.685693411868407,94.0
g08025,-6.478662379463529,3102.0
g08027,-1.9930402908731417,2485.0
g08029,-0.03687925069155917,1596.0
g08031,-0.10301904509339499,1635.0
g08033,-2.2905746376026004,2568.0
g08035,-9.485155481277099,3139.0
g08037,-4.670166577525534,2997.0
g08039,-7.20341893759487,3118.0
g08041,-3.0015121906730435,2754.0
g08043,-0.43323610929604706,1834.0
g08045,-3.794429935995277,2907.0
g08047,-5.141447578291544,3032.0
g08049,-5.381647856600623,3047.0
g08051,-5.7538184370223515,3068.0
g08053,3.2702888700647885,290.0
g08055,6.337647539841716,70.0
g08057,-1.1708793469725567,2182.0
g08059,-3.9675072490059202,2930.0
g08061,0.7540724625097374,1163.0
g08063,-1.7762070045151042,2418.0
g08065,-2.5842370999694992,2651.0
g08067,-3.686718816809063,2887.0
g08069,-3.779832395661266,2902.0
g08071,1.9156571207501027,626.0
g08073,-0.07069994018969898,1619.0
g08075,-1.8331884112969326,2437.0
g08077,-1.769541859092183,2416.0
g08079,1.7190654960321297,708.0
g08081,-3.3285062739724753,2827.0
g08083,0.472836031134922,1328.0
g08085,0.18157893078010479,1474.0
