r0,0,1,2,3,4
0,0.58,0.25,0.08,0.08,0.0
1,0.18,0.27,0.36,0.09,0.09
2,0.0,0.18,0.27,0.45,0.09
3,0.0,0.09,0.27,0.27,0.36
4,0.25,0.17,0.0,0.08,0.5
