Geo_FIPS,fema_region_sovi_rank,us_sovi_rank
g08067,185.0,93.0
g08069,164.0,88.0
g08071,43.0,168.0
g08073,15.0,285.0
g08075,161.0,174.0
g08077,275.0,178.0
g08079,5.0,181.0
g08081,256.0,105.0
g08083,140.0,251.0
g08085,89.0,273.0
g08087,73.0,199.0
g08089,11.0,41.0
g08091,196.0,146.0
g08093,217.0,32.0
g08095,69.0,106.0
g08097,77.0,21.0
g08099,64.0,122.0
g08101,19.0,104.0
g08103,71.0,135.0
g08105,12.0,84.0
g08107,46.0,16.0
g08109,26.0,200.0
g08111,25.0,33.0
g08113,35.0,15.0
g08115,65.0,64.0
g08117,83.0,28.0
g08119,215.0,119.0
g08121,238.0,186.0
g08123,285.0,129.0
g08125,263.0,290.0
g09001,31.0,8.0
g09003,12.0,61.0
g09005,52.0,15.0
g09007,46.0,10.0
g09009,16.0,65.0
g09011,47.0,37.0
g09013,7.0,3.0
g09015,62.0,54.0
g10001,238.0,213.0
g10003,161.0,98.0
g10005,31.0,121.0
g11001,197.0,265.0
g12001,533.0,334.0
g12003,501.0,159.0
g12005,674.0,628.0
g12007,186.0,323.0
g12009,686.0,600.0
g12011,271.0,481.0
g12013,46.0,220.0
g12015,78.0,25.0
g12017,56.0,21.0
g12019,92.0,126.0
g12021,75.0,63.0
g12023,495.0,495.0
g12027,14.0,307.0
g12029,252.0,598.0
g12031,504.0,440.0
g12033,612.0,565.0
g12035,357.0,130.0
g12037,28.0,538.0
g12039,258.0,303.0
g12041,537.0,249.0
g12043,5.0,50.0
g12045,66.0,442.0
g12047,67.0,237.0
g12049,32.0,246.0
g12051,10.0,177.0
g12053,292.0,111.0
g12055,23.0,8.0
g12057,524.0,655.0
g12059,380.0,523.0
g12061,190.0,72.0
g12063,91.0,671.0
g12065,249.0,547.0
g12067,223.0,200.0
g12069,293.0,228.0
g12071,88.0,95.0
g12073,212.0,196.0
g12075,244.0,306.0
g12077,215.0,13.0
g12079,255.0,727.0
g12081,240.0,201.0
g12083,142.0,60.0
g12085,349.0,280.0
g12086,6.0,12.0
g12087,181.0,336.0
g12089,164.0,195.0
g12091,541.0,361.0
g12093,30.0,188.0
g12095,308.0,695.0
g12097,39.0,75.0
g12099,203.0,224.0
g12101,464.0,424.0
g12103,123.0,255.0
g12105,248.0,290.0
g12107,162.0,259.0
g12109,84.0,102.0
g12111,166.0,140.0
g12113,114.0,74.0
g12115,100.0,40.0
g12117,207.0,217.0
g12119,22.0,9.0
g12121,188.0,614.0
g12123,177.0,526.0
g12125,24.0,59.0
g12127,254.0,202.0
g12129,218.0,30.0
g12131,301.0,701.0
g12133,206.0,572.0
g13001,563.0,185.0
g13003,556.0,728.0
g13005,607.0,546.0
g13007,535.0,57.0
g13009,192.0,346.0
g13011,93.0,51.0
g13013,99.0,115.0
g13015,180.0,218.0
g13017,235.0,125.0
g13019,629.0,436.0
g13021,595.0,239.0
g13023,515.0,500.0
g13025,414.0,293.0
g13027,428.0,465.0
g13029,49.0,46.0
g13031,417.0,243.0
g13033,581.0,222.0
g13035,283.0,133.0
g13037,19.0,698.0
g13039,171.0,136.0
g13043,129.0,285.0
g13045,170.0,242.0
g13047,127.0,347.0
g13049,503.0,148.0
g13051,583.0,660.0
g13053,354.0,3.0
g13055,707.0,419.0
g13057,36.0,32.0
g13059,419.0,574.0
g13061,8.0,4.0
g13063,579.0,534.0
g13065,238.0,120.0
g13067,110.0,53.0
g13069,723.0,294.0
g13071,549.0,553.0
g13073,37.0,31.0
g13075,558.0,650.0
g13077,52.0,61.0
g13079,303.0,187.0
g13081,441.0,158.0
g13083,220.0,241.0
g13085,85.0,105.0
g13087,277.0,230.0
g13089,647.0,357.0
g13091,448.0,349.0
g13093,468.0,338.0
