,g51_r,g48_r,g36_r,g06_r,g13_r,g16_r,g17_r,g29_r,g46_r,g23g33g25_r,g51_p,g48_p,g36_p,g06_p,g13_p,g16_p,g17_p,g29_p,g46_p,g23g33g25_p
Region,-0.019987780396264292,-0.074491740613334731,-0.094658910629296669,-0.19246977760004921,-0.18206651540482446,-0.48174770965468644,0.061786475620720274,0.20235145585102188,-0.068948961486274926,0.24971857410881801,0.8186897579308714,0.23681251942721801,0.46427715436825046,0.1477653389102882,0.021625089657394011,0.00092967435956596328,0.53729278735021146,0.030100894539021483,0.58225292706368759,0.12018128339071224
US,-0.30271948528036513,0.23716769767880383,-0.20490544181712878,0.11649081792734321,-0.23671184619058994,-0.51162790697674421,-0.093180134689654012,0.24966464136352878,0.32787809205719659,-0.093433395872420277,0.00037770094460844704,0.0001357583372096063,0.11013323286453602,0.38384961398375028,0.0026638062676982289,0.00038582873997255199,0.35159313009247839,0.0071268336004664144,0.0071982258171864877,0.56634459339823673
