,All_Counties,Drop_1
1,Kings (1),Alpine (58)
2,San Francisco (2),Kings (1)
3,Colusa (3),Del Norte (10)
4,Modoc (4),San Francisco (2)
5,Lassen (5),Imperial (6)
6,Imperial (6),Modoc (4)
7,Madera (7),Fresno (16)
8,Tulare (8),Sacramento (51)
9,Monterey (9),Los Angeles (23)
10,Del Norte (10),Merced (13)
