r0,0,1,2,3,4
0,0.86,0.14,0.0,0.0,0.0
1,0.14,0.65,0.2,0.0,0.0
2,0.0,0.2,0.61,0.18,0.0
3,0.0,0.0,0.18,0.71,0.11
4,0.0,0.0,0.0,0.1,0.9
