,g23g33g25,FEMA_8,FEMA_9,USA,g36,FEMA_2,FEMA_3,FEMA_1,FEMA_6,FEMA_7,FEMA_4,FEMA_5,FEMA_10,g48,g51,g46,g17,g16,g06,g29,g13
MEDAGE_ACS,0.375940807066,0.467612355365,0.284615203634,0.211338946754,0.311741116167,0.169679133014,0.18492168758,0.254384822115,0.0878878088611,0.0225063597234,0.156949349504,0.243898229973,0.0820048885976,0.125479374644,0.113467382075,0.210274732933,-0.0370852688049,0.0663432436322,0.0656441014132,0.157850106246,0.260345468142
BLACK_ACS,0.0539344264342,0.33992255241,-0.526381345302,-0.266230805205,0.0423221201622,0.0619084300061,0.187243302343,0.0938279493979,-0.567906577808,0.0595088277363,-0.121597758223,-0.0602262454763,-0.238358327045,0.437536796197,-0.108681045272,0.461593270517,0.0159252073303,0.390079456323,-0.311080666123,-0.0229296363182,0.0923179900542
QNATAM_ACS,0.436896250547,-0.0759033321502,0.398611021476,0.494397996379,-0.547847353519,0.574277711776,-0.232468097052,0.542399760839,0.44837201419,0.583478296459,0.80667987452,0.64165846361,-0.0458605014828,-0.0632732109101,-0.300891580227,-0.0674215242358,0.5320857737,0.283320087306,-0.303012781212,0.442468401906,-0.53317745188
QASIAN_ACS,0.121546681037,0.230787959773,-0.000180375959655,-0.0897732446889,-0.164926557078,-0.122951455866,0.0718453870077,0.209873279338,0.11968846378,-0.150120594824,0.0732033689853,0.0213243704075,-0.241877081599,0.227814162643,0.198575353789,0.512956495302,0.327486809817,0.333942733802,-0.0970648284881,0.161076816553,0.216780567298
QHISP_ACS,0.328230119878,0.51625789376,0.275314764255,0.562648289882,0.0154900500379,-0.118947721678,0.633757830568,0.219432519024,0.377373268564,0.396433545352,0.460977158898,0.389078069679,0.334285537643,-0.0267589873095,0.559678873031,0.498253408651,-0.192877021688,0.252961977673,0.271240946345,0.484107377721,0.369245952506
QAGEDEP_ACS,0.560522823756,0.511814646672,0.3808562727,0.760406518062,0.59808063403,0.170808012248,0.3788597702,0.499976853415,0.561985772223,0.328592490605,0.375003551989,0.617482625647,0.291000717053,0.183104161355,0.268846994241,0.139177647959,0.0530604633838,0.116200822994,0.23360152008,0.43533542129,0.147867199901
QPUNIT_ACS,0.363158845439,-0.186926213595,0.136436757561,0.0164567723167,-0.354766793814,-0.55277639435,0.131147427328,0.168756239258,-0.0173467286676,0.13415897916,-0.406541150226,0.0582754819712,-0.0720808035532,-0.371731572427,-0.0438622111226,-0.144432758326,-0.42994393779,-0.197615367722,-0.190057481101,-0.455467291449,-0.369908078382
PRENTER_ACS,-0.0322600962941,-0.167069884346,-0.0790482827814,0.167550520256,0.167110252778,0.0890986320927,-0.129539833956,0.06128919949,0.227037292796,0.066205968944,0.303675334814,-0.0836862669732,0.366951689347,0.233398028779,0.101700349974,-0.0403191435557,0.190790686944,0.457394552979,0.399842849845,0.163691131477,-0.114085178713
QNRRES_ACS,0.354628532736,-0.289611018771,0.859115967293,0.33146194071,0.540683449562,-0.163931606181,0.514494155719,0.460979664004,0.289317107386,0.42608857656,0.523540225637,0.219521122123,0.329904663594,0.329714297365,0.16126049974,-0.280693474692,-0.144644861113,0.166084161051,0.660619109858,0.283814943343,0.440883550826
QFEMALE_ACS,0.416602746625,0.752006902081,-0.0207226507425,0.736948977705,0.527480025279,-0.17618191124,-0.394745134047,0.507295455941,0.543177319618,0.812210266813,-0.255072301199,0.857484600174,0.405108038538,-0.349545684434,-0.0865561095135,0.481723787315,-0.281935253425,0.0511655898553,-0.555987685021,0.644941854082,-0.336357836478
QFHH_ACS,0.557134386965,0.00858033762045,0.224443767297,0.207760477968,0.271198435522,-0.0463621351497,0.0964227210143,0.261634433422,0.0892903749229,0.499838825939,-0.010994638371,0.249744854898,0.452856029572,0.220869178661,-0.0357159565223,0.0593131140645,-0.19485247054,0.5045648133,-0.147181259364,0.210313055937,-0.0737685342882
QUNOCCHU_ACS,-0.125422270301,0.454153449046,0.449674368716,0.279747650547,0.141959360824,0.510356012599,0.76031994733,-0.241667762915,0.137242351158,-0.168612427402,0.377024752987,0.314937985096,-0.268524439958,0.281982715487,0.505076347676,0.732645407469,0.421557846874,-0.282865532075,-0.406031789795,0.401423478337,0.202247992073
PERCAP_ALT,0.092281320319,0.268477795143,0.0843880994023,0.27911942839,0.126118467371,-0.0768935343745,0.250077714251,0.0453636320889,0.379350095699,0.233689573326,0.149739487299,0.235285245193,0.178240687815,0.191363953666,0.151425350209,0.247792180402,0.0986675512064,0.198379198554,-0.153156685306,0.186765070123,-0.0952300418023
QESL_ALT,0.362273621671,0.378782752419,0.485430141091,0.481555161303,-0.0378232103983,-0.120557994754,0.576794961724,0.297961004524,0.324534913614,0.392906311937,0.47250385158,0.469563660438,0.242513908216,-0.0597398391021,0.585655423446,0.31460968845,-0.036800550896,0.208744943642,0.304682968908,0.443789130787,0.497420957994
